"ID","ID_nxt","x","y","is_canal","Q","V","H","slope","Q_design_m3s","Q_model_m3s","Q_role","Q_parent_m3s","Q_out_sum_m3s","Q_residual_m3s","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_season","Q_value_origin","Q_derivation_rule","Q_source_note","Q_lake_m3s","lake_throughflow_m3s","lake_transport_mode","lake_residence_time_days","C_w","C_sd","concentration_units"
"P_00010","P_00026",0.22916666666659,6.1791666666665,FALSE,1085.21997070312,4.33358046566139,0.87172921285574,2.61475467681885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00011","P_00012",0.0875000000000168,6.15416666666641,FALSE,1085.21997070312,3.55211642249333,1.06350925444227,1.34830093383789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00012","P_00013",0.112499999999923,6.12916666666651,FALSE,1085.21997070312,3.55211642249333,1.06350925444227,1.34830093383789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00013","P_00021",0.120833333333259,6.12916666666651,FALSE,1085.21997070312,3.55211642249333,1.06350925444227,1.34830093383789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00014","Source00002",0.133333333333258,6.18333333333317,FALSE,1085.21997070312,3.55211642249333,1.06350925444227,1.34830093383789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00015","Source00003",0.145833333333259,6.17083333333317,FALSE,1085.21997070312,3.58270251130275,1.05442991045449,1.38737535476685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0460125958138345,NA,"viral particles/L"
"P_00016","P_00017",0.145833333333258,6.15416666666651,FALSE,1085.21997070312,3.4120183904965,1.10717711800736,1.17910623550415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0585911671931495,NA,"viral particles/L"
"P_00017","Source00004",0.137499999999925,6.14583333333318,FALSE,1085.21997070312,3.22891228258904,1.16996324382926,0.981118381023407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0585706696000403,NA,"viral particles/L"
"P_00018","P_00019",0.129166666666592,6.14583333333318,FALSE,1085.21997070312,4.41995952142167,0.854693050890866,2.79228663444519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0586319476509868,NA,"viral particles/L"
"P_00019","P_00020",0.12083333333326,6.13749999999984,FALSE,1085.21997070312,4.41995952142167,0.854693050890866,2.79228663444519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0586164276501517,NA,"viral particles/L"
"P_00020","P_00021",0.120833333333259,6.12916666666651,FALSE,1085.21997070312,4.41995952142167,0.854693050890866,2.79228663444519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0586054606458437,NA,"viral particles/L"
"P_00021","Source00005",0.120833333333259,6.12916666666651,FALSE,1085.21997070312,3.55211642249333,1.06350925444227,1.34830093383789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0586054606458437,NA,"viral particles/L"
"P_00022","Source00006",0.137499999999925,6.11249999999984,FALSE,1085.21997070312,3.55211642249333,1.06350925444227,1.34830093383789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12100500917377,NA,"viral particles/L"
"P_00023","Source00007",0.145833333333257,6.11249999999984,FALSE,1085.21997070312,3.55211642249333,1.06350925444227,1.34830093383789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52026851823575,NA,"viral particles/L"
"P_00024","Source00008",0.154166666666591,6.10416666666651,FALSE,1085.21997070312,6.09960714162859,0.619336393387685,8.1219425201416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76970583821936,NA,"viral particles/L"
"P_00025","P_00037",0.179166666666589,6.10416666666651,FALSE,1085.21997070312,4.61959364447592,0.817757789734466,3.23440170288086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35035463447256,NA,"viral particles/L"
"P_00026","P_00027",0.22916666666659,6.1791666666665,FALSE,1085.21997070312,4.33358046566139,0.87172921285574,2.61475467681885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000285167310676962,NA,"viral particles/L"
"P_00027","P_00028",0.229166666666591,6.14583333333318,FALSE,1085.21997070312,3.22891228258904,1.16996324382926,0.981118381023407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000284876181523257,NA,"viral particles/L"
"P_00028","Source00009",0.220833333333257,6.13749999999984,FALSE,1085.21997070312,3.55211642249333,1.06350925444227,1.34830093383789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000284786179459077,NA,"viral particles/L"
"P_00029","P_00030",0.212499999999924,6.13749999999984,FALSE,1085.21997070312,4.30248461073292,0.87802956430203,2.55281853675842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0657366064336154,NA,"viral particles/L"
"P_00030","P_00031",0.212499999999924,6.12916666666651,FALSE,1085.21997070312,4.16341086906526,0.907359087772705,2.28828239440918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0657236028910801,NA,"viral particles/L"
"P_00031","Source00010",0.204166666666592,6.12083333333317,FALSE,1085.21997070312,4.42898925933237,0.852950519177253,2.81131649017334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0657063943181181,NA,"viral particles/L"
"P_00032","Source00011",0.204166666666592,6.11249999999984,FALSE,1085.21997070312,4.79133312483923,0.788446261144653,3.65181660652161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0893078739006292,NA,"viral particles/L"
"P_00033","Source00012",0.212499999999924,6.10416666666651,FALSE,1085.21997070312,4.52202228106597,0.835402493259609,3.01266980171204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522264289125489,NA,"viral particles/L"
"P_00034","P_00041",0.220833333333257,6.10416666666651,FALSE,1085.21997070312,3.76366410506858,1.00373162501152,1.63491308689117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522604788983822,NA,"viral particles/L"
"P_00035","Source00013",0.17916666666659,6.09583333333318,FALSE,1085.21997070312,4.0535677444368,0.931946602684172,2.09334683418274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0633105262048751,NA,"viral particles/L"
"P_00036","P_00037",0.179166666666589,6.10416666666651,FALSE,1085.21997070312,4.61959364447592,0.817757789734466,3.23440170288086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18434564578536,NA,"viral particles/L"
"P_00037","Source00014",0.179166666666589,6.10416666666651,FALSE,1085.21997070312,4.61959364447592,0.817757789734466,3.23440170288086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53470028025792,NA,"viral particles/L"
"P_00038","Source00015",0.187499999999926,6.09583333333318,FALSE,1085.21997070312,3.6397736287153,1.03789660389166,1.46239030361176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75267389841203,NA,"viral particles/L"
"P_00039","Source00016",0.212499999999924,6.09583333333318,FALSE,1085.21997070312,4.11056700346735,0.919023746600273,2.19299006462097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16923501869933,NA,"viral particles/L"
