"ID","Pt_type","ID_nxt","Hylak_id","x","y","Q","C_w","C_sd","WWTPremoval","is_canal","Q_model_m3s","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_value_origin","Q_derivation_rule","dist_nxt","Q_lake_m3s","lake_throughflow_m3s","lake_transport_mode","lake_residence_time_days","pathogen_profile_id","pathogen_profile_set","pathogen_profile_label","pathogen_profile_region","pathogen_profile_country","pathogen_profile_confidence","pathogen_prevalence_rate","pathogen_excretion_rate","f_pathogen_direct","pathogen_prevalence_source","pathogen_excretion_source","pathogen_wwtp_source","pathogen_reference_url","substance","concentration_units","basin_id"
"P_00011","JNCT","P_00012",0,21.9041666666665,45.9291666666665,0.476625025272369,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2258.28320512568,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00012","node","P_00013",0,21.8874999999999,45.9124999999999,0.476625025272369,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1292.6452204125,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00013","node","P_00014",0,21.8708333333332,45.9124999999999,0.476625025272369,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1129.2187245015,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00014","node","P_00015",0,21.8624999999999,45.9041666666665,0.476625025272369,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,646.417614434452,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00015","node","P_00030",0,21.8541666666665,45.9041666666665,0.476625025272369,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00016","START","P_00017",0,21.6791666666665,45.9749999999999,0.32048211991787,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,6018.4381249797,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00017","node","P_00018",0,21.6791666666665,45.9208333333332,0.32048211991787,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2258.33665624825,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00018","node","P_00019",0,21.6958333333332,45.9041666666665,0.32048211991787,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1851.81342196803,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00019","node","P_00044",0,21.6958333333332,45.8874999999999,0.32048211991787,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00020","START","P_00021",0,21.7833333333332,45.9624999999999,0.258357137441635,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,968.600771427001,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00021","node","P_00022",0,21.7708333333332,45.9624999999999,0.258357137441635,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,10161.8305066796,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00022","node","P_00044",0,21.6958333333332,45.8874999999999,0.258357137441635,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00023","START","P_00024",0,22.0666666666665,45.8999999999999,0.166500004474074,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1694.02070216201,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
