"X","Y","L1","ARCID","is_canal","dir","ID","x","y","idx_in_line_seg","ID_nxt","pt_type","loc_ID_tmp","d_nxt","LD2","LD","idx_nxt_tmp","total_population","rptMStateK","uwwLoadEnt","uwwCapacit","uwwPrimary","uwwSeconda","f_STP","canal_id","canal_name","canal_idx","canal_upstream_ids","canal_downstream_ids","canal_upstream_count","canal_downstream_count","canal_pt_type","chainage_m","canal_reach_chainage_m","canal_d_nxt_m","Q_design_m3s","Q_model_m3s","Q_source","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_season","Q_value_origin","Q_derivation_rule","Q_source_note","HL_ID_new","lake_in","lake_out","node_type","LINKNO","UP_CELLS","UPLAND_SKM","display_pt_type","junction_role","slope","T_AIR","Wind","basin_id"
21.8708333333332,45.9124999999999,4,211973,FALSE,8,"P_00013",21.8708333333332,45.9124999999999,3,"P_00014","node","21.870833_45.9125",1129.2187245015,150521.063496744,150521.063496744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"node",NA,1.98000001907349,NA,NA,"bega_rota"
21.8624999999999,45.9041666666665,4,211973,FALSE,16,"P_00014",21.8624999999999,45.9041666666665,4,"P_00015","node","21.8625_45.904167",646.417614434452,149391.844772243,149391.844772243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"node",NA,3.24000000953674,NA,NA,"bega_rota"
21.8541666666665,45.9041666666665,4,211973,FALSE,8,"P_00015",21.8541666666665,45.9041666666665,5,"P_00030","node","21.854167_45.904167",0,148745.427157808,148745.427157808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"JNCT","coincident_confluence_node",1.72000002861023,NA,NA,"bega_rota"
21.6791666666665,45.9749999999999,5,212196,FALSE,4,"P_00016",21.6791666666665,45.9749999999999,1,"P_00017","START","21.679167_45.975",6018.4381249797,156002.367911789,156002.367911789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"START",NA,7.76000022888184,NA,NA,"bega_rota"
21.6791666666665,45.9208333333332,5,212196,FALSE,2,"P_00017",21.6791666666665,45.9208333333332,2,"P_00018","node","21.679167_45.920833",2258.33665624825,149983.92978681,149983.92978681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"node",NA,4.07999992370605,NA,NA,"bega_rota"
21.6958333333332,45.9041666666665,5,212196,FALSE,4,"P_00018",21.6958333333332,45.9041666666665,3,"P_00019","node","21.695833_45.904167",1851.81342196803,147725.593130561,147725.593130561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"node",NA,4.44000005722046,NA,NA,"bega_rota"
21.6958333333332,45.8874999999999,5,212196,FALSE,8,"P_00019",21.6958333333332,45.8874999999999,4,"P_00044","node","21.695833_45.8875",0,145873.779708593,145873.779708593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"JNCT","coincident_confluence_node",2.94000005722046,NA,NA,"bega_rota"
21.7833333333332,45.9624999999999,6,212197,FALSE,16,"P_00020",21.7833333333332,45.9624999999999,1,"P_00021","START","21.783333_45.9625",968.600771427001,157004.2109867,157004.2109867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"START",NA,6.36999988555908,NA,NA,"bega_rota"
21.7708333333332,45.9624999999999,6,212197,FALSE,8,"P_00021",21.7708333333332,45.9624999999999,2,"P_00022","node","21.770833_45.9625",10161.8305066796,156035.610215273,156035.610215273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"node",NA,7.11999988555908,NA,NA,"bega_rota"
21.6958333333332,45.8874999999999,6,212197,FALSE,8,"P_00022",21.6958333333332,45.8874999999999,3,"P_00044","node","21.695833_45.8875",0,145873.779708593,145873.779708593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"JNCT","coincident_confluence_node",2.94000005722046,NA,NA,"bega_rota"
