"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","bas_val","fid","HYBAS_ID","NEXT_DOWN","NEXT_SINK","MAIN_BAS","DIST_SINK","DIST_MAIN","SUB_AREA","UP_AREA","PFAF_ID","ENDO","COAST","ORDER","SORT"
170408,NA,"Romania","Europe","SWBD",1,0,3.31,9.41,1.46,34.8,0,3,10.5,0.654,615.8,189,5.2,120.3,22.12738,45.754751,1,1,2080542050,2080545990,2080008490,2080008490,1365.3,1365.3,1164.5,2812.4,22761023,0,0,3,3062
1356842,NA,"Romania","Europe","SWBD",1,0,0.48,3.2,1.3,2.72,0,3,5.6,0.244,128.9,115,5.06,68.9,21.469008,45.850722,1,1,2080542050,2080545990,2080008490,2080008490,1365.3,1365.3,1164.5,2812.4,22761023,0,0,3,3062
1356896,NA,"Romania","Europe","SWBD",1,0,0.16,2.09,1.48,0.48,0,3,3,0.054,103.4,118,1.97,18.1,21.360867,45.836298,1,1,2080542050,2080545990,2080008490,2080008490,1365.3,1365.3,1164.5,2812.4,22761023,0,0,3,3062
1357088,NA,"Romania","Europe","SWBD",1,0,0.19,1.93,1.24,0.61,0,3,3.2,0.081,87.8,107,2.08,21.8,21.630208,45.785988,1,1,2080542050,2080545990,2080008490,2080008490,1365.3,1365.3,1164.5,2812.4,22761023,0,0,3,3062
1357186,NA,"Romania","Europe","SWBD",1,0,0.16,2.32,1.66,0.17,0,3,1.1,9.485,0.2,86,0.23,2056.5,21.292706,45.757333,1,1,2080542050,2080545990,2080008490,2080008490,1365.3,1365.3,1164.5,2812.4,22761023,0,0,3,3062
1357311,NA,"Romania","Europe","SWBD",1,0,0.18,2.25,1.5,0.15,0,3,0.9,9.694,0.2,83,0.14,2175.9,21.137151,45.721265,1,1,2080542050,2080545990,2080008490,2080008490,1365.3,1365.3,1164.5,2812.4,22761023,0,0,3,3062
1357409,NA,"Romania","Europe","SWBD",1,0,0.24,2.2,1.26,0.32,0,3,1.3,0.014,265.7,83,0.31,6.1,21.128261,45.692038,1,1,2080542050,2080545990,2080008490,2080008490,1365.3,1365.3,1164.5,2812.4,22761023,0,0,3,3062
1357846,NA,"Romania","Europe","SWBD",1,0,0.86,3.69,1.12,1.48,0,3,1.7,0.062,275.7,72,0.36,30.1,20.769792,45.580082,1,1,2080542050,2080545990,2080008490,2080008490,1365.3,1365.3,1164.5,2812.4,22761023,0,0,3,3062
1357858,NA,"Republic of Serbia","Europe","SWBD",1,0,0.71,4.84,1.62,1.01,0,3,1.4,10.446,1.1,73,0.26,2565.1,20.758243,45.577573,1,1,2080542050,2080545990,2080008490,2080008490,1365.3,1365.3,1164.5,2812.4,22761023,0,0,3,3062
